year,week,loc,state,country,loc_type,number,event
1980,16,KENTUCKY,KY,US,STATE,1,CASES
1980,16,TENNESSEE,TN,US,STATE,2,CASES
1980,16,MISSISSIPPI,MS,US,STATE,6,CASES
1980,16,OKLAHOMA,OK,US,STATE,46,CASES
1980,16,TEXAS,TX,US,STATE,15,CASES
1980,16,COLORADO,CO,US,STATE,1,CASES
1980,16,ARIZONA,AZ,US,STATE,13,CASES
1980,16,UTAH,UT,US,STATE,1,CASES
1980,16,WASHINGTON,WA,US,STATE,8,CASES
1980,16,CALIFORNIA,CA,US,STATE,36,CASES
1980,16,PUERTO RICO,PR,US,STATE,5,CASES
1980,17,MAINE,ME,US,STATE,17,CASES
1980,17,NEW HAMPSHIRE,NH,US,STATE,1,CASES
1980,17,VERMONT,VT,US,STATE,13,CASES
1980,17,MASSACHUSETTS,MA,US,STATE,4,CASES
1980,17,UPSTATE NEW YORK,NY,US,STATE,42,CASES
1980,17,NEW YORK CITY,NY,US,STATE,52,CASES
1980,17,NEW JERSEY,NJ,US,STATE,19,CASES
1980,17,PENNSYLVANIA,PA,US,STATE,125,CASES
1980,17,OHIO,OH,US,STATE,22,CASES
1980,17,INDIANA,IN,US,STATE,2,CASES
1980,17,ILLINOIS,IL,US,STATE,16,CASES
1980,17,MICHIGAN,MI,US,STATE,11,CASES
1980,17,WISCONSIN,WI,US,STATE,51,CASES
1980,17,MINNESOTA,MN,US,STATE,91,CASES
1980,17,VIRGINIA,VA,US,STATE,22,CASES
1980,17,WEST VIRGINIA,WV,US,STATE,2,CASES
1980,17,NORTH CAROLINA,NC,US,STATE,38,CASES
1980,17,GEORGIA,GA,US,STATE,118,CASES
1980,17,FLORIDA,FL,US,STATE,17,CASES
1980,17,KENTUCKY,KY,US,STATE,1,CASES
1980,17,TENNESSEE,TN,US,STATE,10,CASES
1980,17,OKLAHOMA,OK,US,STATE,41,CASES
1980,17,TEXAS,TX,US,STATE,5,CASES
1980,17,COLORADO,CO,US,STATE,1,CASES
1980,17,ARIZONA,AZ,US,STATE,5,CASES
1980,17,UTAH,UT,US,STATE,1,CASES
1980,17,NEVADA,NV,US,STATE,1,CASES
1980,17,WASHINGTON,WA,US,STATE,3,CASES
1980,17,CALIFORNIA,CA,US,STATE,31,CASES
1980,17,PUERTO RICO,PR,US,STATE,2,CASES
1980,18,NEW HAMPSHIRE,NH,US,STATE,11,CASES
1980,18,VERMONT,VT,US,STATE,1,CASES
1980,18,MASSACHUSETTS,MA,US,STATE,5,CASES
1980,18,UPSTATE NEW YORK,NY,US,STATE,29,CASES
1980,18,NEW YORK CITY,NY,US,STATE,60,CASES
1980,18,NEW JERSEY,NJ,US,STATE,48,CASES
1980,18,PENNSYLVANIA,PA,US,STATE,113,CASES
1980,18,INDIANA,IN,US,STATE,4,CASES
1980,18,ILLINOIS,IL,US,STATE,24,CASES
1980,18,MICHIGAN,MI,US,STATE,4,CASES
1980,18,WISCONSIN,WI,US,STATE,37,CASES
1980,18,MINNESOTA,MN,US,STATE,93,CASES
1980,18,KANSAS,KS,US,STATE,5,CASES
1980,18,MARYLAND,MD,US,STATE,5,CASES
1980,18,VIRGINIA,VA,US,STATE,3,CASES
1980,18,WEST VIRGINIA,WV,US,STATE,1,CASES
1980,18,NORTH CAROLINA,NC,US,STATE,17,CASES
1980,18,SOUTH CAROLINA,SC,US,STATE,5,CASES
1980,18,GEORGIA,GA,US,STATE,92,CASES
1980,18,FLORIDA,FL,US,STATE,18,CASES
1980,18,TENNESSEE,TN,US,STATE,4,CASES
1980,18,ALABAMA,AL,US,STATE,1,CASES
1980,18,MISSISSIPPI,MS,US,STATE,1,CASES
1980,18,OKLAHOMA,OK,US,STATE,76,CASES
1980,18,TEXAS,TX,US,STATE,2,CASES
1980,18,ARIZONA,AZ,US,STATE,14,CASES
1980,18,WASHINGTON,WA,US,STATE,9,CASES
1980,18,CALIFORNIA,CA,US,STATE,13,CASES
1980,18,PUERTO RICO,PR,US,STATE,2,CASES
1980,19,MAINE,ME,US,STATE,3,CASES
1980,19,NEW HAMPSHIRE,NH,US,STATE,5,CASES
1980,19,VERMONT,VT,US,STATE,7,CASES
1980,19,MASSACHUSETTS,MA,US,STATE,2,CASES
1980,19,UPSTATE NEW YORK,NY,US,STATE,70,CASES
1980,19,NEW YORK CITY,NY,US,STATE,107,CASES
1980,19,NEW JERSEY,NJ,US,STATE,33,CASES
1980,19,PENNSYLVANIA,PA,US,STATE,62,CASES
1980,19,OHIO,OH,US,STATE,4,CASES
1980,19,INDIANA,IN,US,STATE,15,CASES
1980,19,ILLINOIS,IL,US,STATE,2,CASES
